GrLivArea,SalePrice,ctext
1710,208500,some text here
1262,181500,some text here
1786,223500,some text here
1717,140000,some text here
2198,250000,some text here
1362,143000,some text here
1694,307000,some text here
2090,200000,some text here
1774,129900,some text here
1077,118000,some text here
1040,129500,some text here
2324,345000,some text here
912,144000,some text here
1494,279500,some text here
1253,157000,some text here
854,132000,some text here
1004,149000,some text here
1296,90000,some text here
1114,159000,some text here
1339,139000,some text here
2376,325300,some text here
1108,139400,some text here
1795,230000,some text here
1060,129900,some text here
1060,154000,some text here
1600,256300,some text here
900,134800,some text here
1704,306000,some text here
1600,207500,some text here
520,68500,some text here
1317,40000,some text here
1228,149350,some text here
1234,179900,some text here
1700,165500,some text here
1561,277500,some text here
2452,309000,some text here
1097,145000,some text here
1297,153000,some text here
1057,109000,some text here
1152,82000,some text here
1324,160000,some text here
1328,170000,some text here
884,144000,some text here
938,130250,some text here
1150,141000,some text here
1752,319900,some text here
2149,239686,some text here
1656,249700,some text here
1452,113000,some text here
955,127000,some text here
1470,177000,some text here
1176,114500,some text here
816,110000,some text here
1842,385000,some text here
1360,130000,some text here
1425,180500,some text here
1739,172500,some text here
1720,196500,some text here
2945,438780,some text here
780,124900,some text here
1158,158000,some text here
1111,101000,some text here
1370,202500,some text here
1710,140000,some text here
2034,219500,some text here
2473,317000,some text here
2207,180000,some text here
1479,226000,some text here
747,80000,some text here
2287,225000,some text here
2223,244000,some text here
845,129500,some text here
1718,185000,some text here
1086,144900,some text here
1605,107400,some text here
988,91000,some text here
952,135750,some text here
1285,127000,some text here
1768,136500,some text here
1230,110000,some text here
2142,193500,some text here
1337,153500,some text here
1563,245000,some text here
1065,126500,some text here
1474,168500,some text here
2417,260000,some text here
1560,174000,some text here
1224,164500,some text here
1526,85000,some text here
990,123600,some text here
1040,109900,some text here
1235,98600,some text here
964,163500,some text here
2291,133900,some text here
1786,204750,some text here
1470,185000,some text here
1588,214000,some text here
960,94750,some text here
835,83000,some text here
1225,128950,some text here
1610,205000,some text here
1732,178000,some text here
1535,118964,some text here
1226,198900,some text here
1818,169500,some text here
1992,250000,some text here
1047,100000,some text here
789,115000,some text here
1517,115000,some text here
1844,190000,some text here
1855,136900,some text here
1430,180000,some text here
2696,383970,some text here
2259,217000,some text here
2320,259500,some text here
1458,176000,some text here
1092,139000,some text here
1125,155000,some text here
3222,320000,some text here
1456,163990,some text here
988,180000,some text here
1123,100000,some text here
1080,136000,some text here
1199,153900,some text here
1586,181000,some text here
754,84500,some text here
958,128000,some text here
840,87000,some text here
1348,155000,some text here
1053,150000,some text here
2157,226000,some text here
2054,244000,some text here
1327,150750,some text here
1296,220000,some text here
1721,180000,some text here
1682,174000,some text here
1214,143000,some text here
1959,171000,some text here
1852,230000,some text here
1764,231500,some text here
864,115000,some text here
1734,260000,some text here
1385,166000,some text here
1501,204000,some text here
1728,125000,some text here
1709,130000,some text here
875,105000,some text here
2035,222500,some text here
1080,141000,some text here
1344,115000,some text here
