,text,created_at,place,hashtags,subjectivity,polarity,analysis,tokenized_tw
0,what have ive been up to washing my hands social distancing and self isolation im doing my part to reduce the spread and potential risk of contracting the corona virus and i hope you are too aside ,thu mar 26 22:45:10 +0000 2020,"toronto, ontario",<na>,0.5333333333333333,0.016666666666666666,positive,"['what', 'have', 'ive', 'been', 'up', 'to', 'washing', 'my', 'hands', 'social', 'distancing', 'and', 'self', 'isolation', 'im', 'doing', 'my', 'part', 'to', 'reduce', 'the', 'spread', 'and', 'potential', 'risk', 'of', 'contracting', 'the', 'corona', 'virus', 'and', 'i', 'hope', 'you', 'are', 'too', 'aside']"
1,alarm highrise residential north yorklawrence avenue corona street  dufferin streetdispatched    edtstn  aerial distchief pumper pumper rescuegeneral area,fri mar 20 13:22:05 +0000 2020,"toronto, ontario",<na>,0.0,0.0,neutral,"['alarm', 'highrise', 'residential', 'north', 'yorklawrence', 'avenue', 'corona', 'street', 'dufferin', 'streetdispatched', 'edtstn', 'aerial', 'distchief', 'pumper', 'pumper', 'rescuegeneral', 'area']"
2,how rdh and myself pass people when we see them during the corona virus quarantinebtpent dttheartist  artistlife isignmyself rapper dhentertainment steeldc hiphop paris atlanta daixx ,thu mar 26 02:04:15 +0000 2020,"toronto, ontario",btpent dttheartist toronto artistlife isignmyself rapper 4dhentertainment steeldc hiphop paris atlanta da6ixx,0.0,0.0,neutral,"['how', 'rdh', 'and', 'myself', 'pass', 'people', 'when', 'we', 'see', 'them', 'during', 'the', 'corona', 'virus', 'quarantinebtpent', 'dttheartist', 'artistlife', 'isignmyself', 'rapper', 'dhentertainment', 'steeldc', 'hiphop', 'paris', 'atlanta', 'daixx']"
3,life b corona   canada ,wed mar 25 20:11:32 +0000 2020,"toronto, ontario",corona,0.0,0.0,neutral,"['life', 'b', 'corona', 'canada']"
4,lets all be brave and stay at home yeah stayhome  corona coronamemes quotes selfisolation quarantine quarantineandchill    ,wed mar 25 03:29:35 +0000 2020,"toronto, ontario",stayhome covid_19 corona coronamemes quotes selfisolation quarantine quarantineandchill,1.0,0.8,positive,"['lets', 'all', 'be', 'brave', 'and', 'stay', 'at', 'home', 'yeah', 'stayhome', 'corona', 'coronamemes', 'quotes', 'selfisolation', 'quarantine', 'quarantineandchill']"
5,sending love wherever its needed uponoccasion uponoccasionevents sendinglove lovewherever whereveritsneeded lovewhereverhugo love peace  corona sendinglove peace ,mon mar 23 13:22:42 +0000 2020,"toronto, ontario",uponoccasion uponoccasionevents sendinglove lovewherever whereveritsneeded lovewhereverhugo love peace covid_19 corona sendinglove peace,0.6,0.5,positive,"['sending', 'love', 'wherever', 'its', 'needed', 'uponoccasion', 'uponoccasionevents', 'sendinglove', 'lovewherever', 'whereveritsneeded', 'lovewhereverhugo', 'love', 'peace', 'corona', 'sendinglove', 'peace']"
6,thursday night corona time isolated  floors up and bored af so netflix  amazonprime and tequila donjulio hope life strenght resilience wecandoittogether toronto canada    ,fri mar 20 01:00:28 +0000 2020,"toronto, ontario",netflix amazonprime tequila donjulio70 hope life strenght resilience wecandoittogether toronto canada,1.0,-0.5,negative,"['thursday', 'night', 'corona', 'time', 'isolated', 'floors', 'up', 'and', 'bored', 'af', 'so', 'netflix', 'amazonprime', 'and', 'tequila', 'donjulio', 'hope', 'life', 'strenght', 'resilience', 'wecandoittogether', 'toronto', 'canada']"
7,shibani kashyaps new tune corona ko hai harana at a time when people across the globe are finding ways to bust  anxiety singer shibani kashyap popular for songs like sajnaa aa bhi jaa and zinda hoon  entertainment entertainmentmusic,sat mar 28 16:27:32 +0000 2020,"brampton, ontario",entertainment entertainmentmusic,0.6772727272727272,0.36818181818181817,positive,"['shibani', 'kashyaps', 'new', 'tune', 'corona', 'ko', 'hai', 'harana', 'at', 'a', 'time', 'when', 'people', 'across', 'the', 'globe', 'are', 'finding', 'ways', 'to', 'bust', 'anxiety', 'singer', 'shibani', 'kashyap', 'popular', 'for', 'songs', 'like', 'sajnaa', 'aa', 'bhi', 'jaa', 'and', 'zinda', 'hoon', 'entertainment', 'entertainmentmusic']"
8,people in  are annoyed by this opera singer giving performances from her balcony every night during quarantine  socialdistancing coronavirus corona followforfollowback  etobicoke ,tue mar 24 18:22:20 +0000 2020,"toronto, ontario",covid_19 socialdistancing coronavirus corona followforfollowback,0.8,-0.4,negative,"['people', 'in', 'are', 'annoyed', 'by', 'this', 'opera', 'singer', 'giving', 'performances', 'from', 'her', 'balcony', 'every', 'night', 'during', 'quarantine', 'socialdistancing', 'coronavirus', 'corona', 'followforfollowback', 'etobicoke']"
9,hey hey hey mfittiesbc  before corona d so wanna see what i was doing bc isolationheres a behind the scenes tour of the health food store  supplements store i manage check out the fat burners ,mon mar 30 16:22:29 +0000 2020,"toronto, ontario",<na>,0.7,-0.4,negative,"['hey', 'hey', 'hey', 'mfittiesbc', 'before', 'corona', 'd', 'so', 'wan', 'na', 'see', 'what', 'i', 'was', 'doing', 'bc', 'isolationheres', 'a', 'behind', 'the', 'scenes', 'tour', 'of', 'the', 'health', 'food', 'store', 'supplements', 'store', 'i', 'manage', 'check', 'out', 'the', 'fat', 'burners']"
